id,description,supplier_name
1,Apple iPhone 15 Pro 128GB titanium blue smartphone,Apple Store
2,Samsung Galaxy S24 Ultra 256GB Phantom Black smartphone,Samsung.com
3,Sony WH-1000XM5 wireless noise-cancelling headphones black,Amazon
4,Lenovo ThinkPad X1 Carbon Gen 11 i7-1355U 16GB 512GB laptop,Lenovo Official Store
5,Dyson V15 Detect Absolute cordless vacuum cleaner,Dyson
6,Nike Air Force 1 '07 men shoes white,Nike.com
7,Bosch Series 6 dishwasher SMS6ZCI00A stainless steel,The Good Guys
8,IKEA MALM 6-drawer dresser white,IKEA
9,Canon EOS R6 Mark II mirrorless camera body,Canon Store
10,Nespresso Vertuo Next coffee machine by De'Longhi matte black,Nespresso
