id,description,best_suggested_hs_code,best_suggested_stat_code,best_suggested_tco_link,other_codes,total_time_seconds,reasoning
1,"brandless cereal corn flakes 750g family pack",19041000,41,,"19042090/36; 19049000/55",37.21000099182129,"The product is corn flakes, a prepared food made from cereal. Tariff heading 1904 covers 'Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes)'. Subheading 1904.10.00 directly applies as it explicitly covers 'Prepared foods obtained by the swelling or roasting of cereals or cereal products'. Chapter Note 4 for Chapter 19 confirms that preparation beyond that of Chapters 10 or 11 falls under this heading, which is appropriate for breakfast cereals. The alternatives are less specific 'other' categories within the same primary heading."
2,"stainless steel mixing bowl set 3 piece 304 grade",73239300,56,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=73239300,"73239900/54; 73239400/18",28.34218716621399,"The product is a set of stainless steel mixing bowls for household kitchen use. Chapter 73 covers articles of iron or steel. The most appropriate heading is 7323 for ""Table, kitchen or other household articles... of iron or steel"". Within this heading, the subheading 7323.93.00 specifically covers articles ""Of stainless steel"", which directly matches the product's material and function. The statistical code 56 is assigned to these goods. A Tariff Concession Order (TCO) may be available for this classification."
3,"wireless mouse 2.4G optical 1600dpi black",84716000,92,,"84716000/87; 84718000/35",38.03498578071594,"The product is a wireless mouse, which functions as an input unit for an automatic data processing (ADP) machine. According to the Chapter Notes for Chapter 84, specifically Note 6(C), an X-Y co-ordinate input device (like a mouse) is to be regarded as a unit of an ADP system and classified in heading 8471.

Within heading 8471, the subheading 8471.60 covers ""Input or output units..."". The tool output for this subheading provides several statistical codes. The most accurate description for the product is found under statistical code 92, ""Mouse/trackball"".

The first alternative, 84716000 / 87, is based on the likely weight of the mouse being under 500g. The second alternative, 84718000 / 35, is for ""Other units of automatic data processing machines,"" which is a less specific but plausible classification. No tariff concession orders were identified for these codes."
4,"gaming keyboard mechanical blue switch RGB 104 keys",84716000,55,,"84716000/91; 84716000/66",49.104219913482666,"The item is a gaming keyboard, which is an input unit for a computer. Based on the tariff schedule, Chapter 84 covers machinery and mechanical appliances, with heading 8471 specifically for automatic data processing (ADP) machines and their units. Chapter Note 6(C) to Chapter 84 explicitly states that keyboards are to be classified as units of heading 8471. The most specific classification is under 8471.60, which covers input units. The statistical code 55 directly corresponds to 'Keyboards'. The 'gaming' description does not move it to Chapter 95 as it remains a functional keyboard for a standard ADP machine. No tariff concession orders apply to this classification."
5,"LED light bulb E27 9W warm white 3000K",85395200,25,,"85395200/24; 85395200/11",32.82275724411011,"The product is an LED light bulb with an E27 screw cap. Tariff heading 85.39 covers electric lamps and light sources, with subheading 8539.52 specifically for Light-Emitting Diode (LED) lamps. Chapter Note 11(b) to Chapter 85 defines LED lamps as having a cap for easy installation, which applies to the E27 base. The E27 cap is a type of Edison Screw (ES) cap for mains voltage (over 50V). As a 'warm white' bulb, it is typically a non-directional frosted lamp. This makes statistical code 25 the most appropriate fit. Alternatives include code 24 for a clear lamp and the more general code 11 for a single cap lamp. No tariff concessions apply."
6,"men running shoes breathable mesh size 42 EU blue",64041990,59,,"64041190/02; 64029990/32",34.718246936798096,"The product is men's running shoes with textile mesh uppers and likely rubber or plastic soles. Heading 64.04 covers footwear with textile uppers and rubber/plastic outer soles. According to Subheading Note 1 to Chapter 64, the term 'sports footwear' is restricted to shoes with spikes, sprigs, etc., or specific types like ski-boots. As these running shoes do not have these features, they are classified under the 'Other' subheading 6404.19, not 6404.11. The HS code 6404.19.90 with statistical code 59 is for 'Male footwear exceeding size 1, second series'. Alternative classifications are provided in 6404.11.90 if the shoes are considered 'training shoes' in a broader sense, or in 6402.99.90 if the mesh upper were to be classified as plastic rather than textile."
7,"women yoga pants high waist black size M",61046300,38,,"61046200/11; 61046900/46",32.996559143066406,"The product is identified as women's yoga pants. Based on the typical construction of such garments, they are classified as knitted trousers. Chapter 61 is appropriate for knitted apparel, and heading 6104 covers women's trousers. The primary classification of 61046300 is chosen as yoga pants are most commonly made from synthetic fibres (like polyester or elastane) for their stretch and moisture-wicking properties. The statistical code 38 specifically covers trousers of synthetic fibres. Alternative classifications are provided for trousers made of cotton (61046200) or other textile materials (61046900), as these are also possible, albeit less common, materials for yoga pants. No tariff concession orders were found to be applicable."
8,"smartphone charger USB C 65W gan fast charge",85044030,63,,"85044090/73; 85044090/83",29.79659080505371,"The product is a smartphone charger, which functions as a static converter, converting AC to DC power. This falls under heading 8504. The most specific subheading is 8504.40, which covers static converters. Within this subheading, 8504.40.30 is provided for static converters for telecommunication apparatus (a smartphone is a telecommunication apparatus of heading 8517). The statistical code 63 for ""Other"" is the most appropriate for a complete charger unit. An alternative classification is 8504.40.90, which covers other static converters, with statistical code 73 correctly identifying the item as having a power handling capacity exceeding 25W (65W as specified)."
9,"AA batteries alkaline 1.5V 24 pack",85061000,69,,"85068000/76; 85065000/74",26.636027812957764,"The user has described alkaline batteries. Based on the tariff chapters, Chapter 85 is the relevant chapter for electrical machinery and equipment. Heading 85.06 is for primary cells and primary batteries. Alkaline batteries are a type of manganese dioxide battery. Therefore, the most appropriate subheading is 8506.10.00, which is for manganese dioxide primary cells and batteries. The statistical code for this heading is 69. The alternatives provided are for other types of primary cells and batteries."
10,"ceramic saucepan nonstick 2 liter with lid beige",76151000,31,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=76151000,"73239400/18; 69120000/37",47.988688945770264,"The product is a saucepan, a form of kitchenware. While described as ""ceramic,"" this is most likely a non-stick coating on a base metal body, which gives the article its essential character. Heading 7615 is for table, kitchen or other household articles of aluminium. Aluminium is a common, lightweight material for non-stick saucepans, making 7615.10.00 the most probable classification. An alternative is 7323.94.00, which applies if the underlying metal is enamelled steel. A less likely alternative is 6912.00.00, which would apply only if the saucepan is made entirely of ceramic material, not just coated."
11,"glass storage jar airtight 1.2L bamboo lid",70134900,22,,"70134200/17; 70139990/42",32.65759992599487,"The item is a glass storage jar for kitchen use. The essential character of the product is the glass jar, not the bamboo lid. Therefore, Chapter 70 (Glass and glassware) is appropriate. Heading 7013 covers glassware for table or kitchen purposes. Within this heading, 7013.49.00 is the most suitable subheading for kitchenware not made of lead crystal or special heat-resistant glass. The statistical code 22 specifically identifies the item as 'Kitchenware'. Alternative classifications are provided for glassware made of special heat-resistant glass (70134200) or if the item is considered 'other' glassware not specifically for the kitchen (70139990)."
