id,description
1,brandless cereal corn flakes 750g family pack
2,stainless steel mixing bowl set 3 piece 304 grade
3,wireless mouse 2.4G optical 1600dpi black
4,gaming keyboard mechanical blue switch RGB 104 keys
5,LED light bulb E27 9W warm white 3000K
6,men running shoes breathable mesh size 42 EU blue
7,women yoga pants high waist black size M
8,smartphone charger USB C 65W gan fast charge
9,AA batteries alkaline 1.5V 24 pack
10,ceramic saucepan nonstick 2 liter with lid beige
11,glass storage jar airtight 1.2L bamboo lid
12,coffee beans arabica medium roast 1kg
13,green tea matcha powder ceremonial grade 100g
14,cooking oil sunflower refined 2L bottle
15,olive oil extra virgin cold pressed 750ml
16,protein powder whey isolate vanilla 2lb
17,stainless steel water bottle insulated 1L silver
18,plastic food containers 10 pack microwave safe 900ml
19,nonstick frying pan 28cm PFOA free black
20,chef knife 8 inch german steel 4116
21,cutting board bamboo extra large 45x33cm
22,bleach household disinfectant 5L concentrated
23,laundry detergent liquid lavender 2.7L
24,dishwashing liquid lemon 1.5L
25,microfiber towels cleaning cloth 12 pack 40x40cm
26,trash bags heavy duty 120L black 30 count
27,paper towels 6 rolls 2 ply
28,toilet tissue 12 rolls 3 ply
29,shampoo anti dandruff 400ml
30,conditioner hair repair 400ml
31,toothpaste whitening fluoride 120g mint
32,toothbrush soft bristle 4 pack
33,body wash aloe vera 1L
34,hand soap foaming 500ml unscented
35,facial tissues pocket 10 packs
36,disposable gloves nitrile medium 100 count
37,first aid bandages assorted sizes 50 count
38,vitamin C tablets 1000mg 60 count
39,omega 3 fish oil capsules 1000mg 120 count
40,thermometer digital infrared non contact
41,face mask surgical 50 pieces blue
42,usb flash drive 64GB usb 3.1 silver
43,external hard drive 2TB 2.5 inch usb 3.0
44,ssd sata iii 1TB 2.5 inch
45,nvme m2 2280 ssd 2TB gen4
46,microSD card 256GB u3 a2
47,wireless router dual band ac1200
48,ethernet cable cat6 5m blue
49,hdmi cable 2m 4k 60hz
50,monitor 27 inch 144hz ips 2560x1440
51,tablet 10 inch 4GB ram 64GB storage
52,laptop backpack water resistant 15.6 inch grey
53,notebook ruled A5 200 pages
54,gel pens 0.5mm black 12 pack
55,printer ink cartridge black xl model 245
56,laser toner cartridge compatible 12a
57,desk lamp led adjustable 12W clamp
58,office chair ergonomic mesh lumbar support
59,filing cabinet metal 3 drawer lockable
60,bookshelf wooden 4 tier walnut
61,sofa throw blanket fleece 150x200cm grey
62,duvet cover cotton queen size white
63,pillow memory foam king size 2 pack
64,mattress topper 5cm gel foam queen
65,area rug shaggy 160x230cm ivory
66,curtains blackout 2 panels 140x240cm navy
67,blender countertop 1200W glass jar 1.8L
68,toaster 2 slice stainless steel
69,kettle electric 1.7L 2200W
70,rice cooker 5 cup nonstick
71,pressure cooker 6L stainless steel
72,air fryer 5.5L digital black
73,stand mixer 1000W 5L bowl red
74,juicer slow masticating 200W
75,coffee maker drip 12 cup programmable
76,espresso machine 15 bar with milk frother
77,vacuum cleaner stick cordless 25kPa
78,steam iron 2400W ceramic soleplate
79,sewing machine computerized 200 stitches
80,humidifier ultrasonic 5L with filter
81,dehumidifier 20L day auto defrost
82,space heater ceramic 2000W oscillating
83,fan tower 90cm remote 3 speed
84,air purifier hepa 13 for room 50m2
85,bicycle helmet adult size m matte black
86,bike lock u lock heavy duty with cable
87,cycling gloves gel padded size L
88,running watch gps heart rate waterproof
89,yoga mat tpe 6mm non slip purple
90,dumbbells adjustable 20kg pair
91,resistance bands latex set of 5
92,tennis balls pressurized 4 pack
93,camping tent 3 person waterproof 3000mm
94,sleeping bag mummy 0c down fill
95,backpack hiking 40L rain cover green
96,headlamp led 1000 lumen rechargeable
97,water filter portable pump 0.01 micron
98,portable power station 500Wh 500W
99,solar panel foldable 120W 18V
100,gas canister butane 220g 4 pack
